# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1248
#@/user_id	662924db-9313-4d87-817a-45375dfe3f1f
wai wang 	外網	c=1 d=1 t=1113
wan 	完	c=1 d=1 t=457
wan 	晚	c=1 d=1 t=503
wan an 	晚安	c=1 d=1 t=423
wan guo 	玩過	c=1 d=1 t=643
wan jia 	玩家	c=0 d=0.1 t=1066
wan quan 	完全	c=1 d=0.311923 t=1248
wan sha a 	玩啥啊	c=1 d=0.283654 t=1248
wan xiao 	玩笑	c=1 d=1 t=851
wang 	王	c=1 d=0.628135 t=1248
wang ji 	忘記	c=1 d=1 t=679
wang luo 	網絡	c=1 d=1 t=792
wang ye 	網頁	c=0 d=0.1 t=880
wang ye me 	網頁麼	c=1 d=1 t=881
